name,time/op (ns/op),±
Gol/512x512x1000-1-8,9.85510E+09,0%
Gol/512x512x1000-2-8,5.51775E+09,0%
Gol/512x512x1000-3-8,4.11919E+09,1%
Gol/512x512x1000-4-8,4.85814E+09,0%
Gol/512x512x1000-5-8,4.21863E+09,1%
Gol/512x512x1000-6-8,3.84844E+09,0%
Gol/512x512x1000-7-8,4.12742E+09,1%
Gol/512x512x1000-8-8,3.88646E+09,0%
Gol/512x512x1000-9-8,3.86525E+09,0%
Gol/512x512x1000-10-8,3.69611E+09,0%
Gol/512x512x1000-11-8,3.76923E+09,1%
Gol/512x512x1000-12-8,3.71979E+09,0%
Gol/512x512x1000-13-8,3.55859E+09,1%
Gol/512x512x1000-14-8,3.86602E+09,0%
Gol/512x512x1000-15-8,3.76977E+09,0%
Gol/512x512x1000-16-8,3.69851E+09,0%
